region,country,year,forest_cover_pct,annual_loss_pct,annual_loss_ha,risk_level,biodiversity_index,carbon_stock_mt
Atlantic Forest,Brazil (Atlantic),2018,59.8081739880497,0.7419597714880992,24224.945601640396,Medium,8.14667902265869,198.0559473377704
Madagascar,Seychelles,2023,60.16143306709709,0.002342789403159462,66.25732148860601,Low,10.0,185.70963288392926
Borneo,Indonesia (Borneo),2012,73.55806825876745,0.5125493710364817,19838.30219833917,Medium,8.058230675673821,227.31305590963964
Borneo,Indonesia (Borneo),2022,67.33472492537095,0.0829853450995226,3211.9605391157847,Low,9.819987377004464,217.98775117422082
Central America,Panama,2020,51.724479752622365,0.7274389011075668,10657.653955252597,Medium,8.712741541319842,163.74925205664158
Borneo,Malaysia (Borneo),2019,55.175955265923584,1.2299481994073331,26869.922499695316,High,7.066357533698446,158.7057077467964
Southeast Asia,Vietnam,2020,48.85260552794634,0.8996215880763268,26768.433576655418,Medium,7.887661807736563,143.22843401913443
Amazon,Suriname,2014,69.70657532617011,2.3309456550381378,15447.187140585047,Critical,5.345798180609776,213.3572995515468
Daintree,Papua New Guinea,2021,66.90780001012642,0.3351782719986066,16537.44361514322,Low,9.807191645723524,182.81227815945255
Atlantic Forest,Brazil (Atlantic),2014,62.177803684286104,0.33283161013437557,10866.93370698597,Low,8.817902165437722,206.4535842406317
West Africa,Ghana,2015,73.52095582998832,0.39719401531535536,11709.546823373901,Low,8.776386999181947,226.33594610611465
West Africa,Senegal,2017,54.015575913903895,1.291495550625705,34995.50279070717,High,7.979802784268761,163.54225310015104
Southeast Asia,Cambodia,2024,80.38803342952012,0.09431368469391327,2518.275173594383,Low,9.674884930652256,265.0140314691898
Daintree,Australia,2013,54.623827837819285,0.4368334833406836,3313.958228769558,Low,8.737563513396145,161.46921064923046
Congo Basin,Equatorial Guinea,2013,52.416641427619,1.4662474467688018,24626.122052133196,High,7.431847505070854,153.60150433980863
Congo Basin,CAR,2013,81.72436130584414,0.2466799765910176,2312.252733387786,Low,9.26254154820184,235.4805086374531
Madagascar,Mauritius,2020,77.28792171135768,1.2029148077808345,41372.61089698038,High,8.107881152107717,238.72510531259178
Madagascar,Madagascar,2018,73.09409967274314,1.1097587206337691,26753.212317285637,High,7.448622370242606,225.45130118485972
Central America,Costa Rica,2016,60.1483988419083,0.47608762087816026,944.3144119886258,Low,8.968027477331182,167.11951251552676
Madagascar,Madagascar,2010,81.5608109281297,0.36054903597220167,8691.839704263239,Low,9.751387760749962,241.12855324212111
Southeast Asia,Malaysia,2016,65.42671843674644,0.18674815493615637,8692.552934671781,Low,9.513373254540811,183.0881099398547
Mekong,Laos,2017,55.26515536280158,0.4878454969840085,18374.5664028715,Low,9.402335667071306,151.69809701209493
Amazon,Venezuela,2014,77.93439245020765,1.1904801809365049,8441.175855080352,High,7.586265834736488,199.20522071608605
Mekong,Thailand (Mekong),2022,63.62325984649904,0.13715214484766358,1355.1208282026657,Low,10.0,186.25157446586599
West Africa,Nigeria,2021,71.85274241497221,0.5870765041672963,4257.147014292706,Medium,9.610236293716833,181.51396192331643
Amazon,Ecuador,2021,53.754067159361206,0.3949051425590462,3504.146272627805,Low,8.546141583665033,152.00588775129341
Mekong,Laos,2013,60.888602813164255,0.2952849864337542,11121.827760103075,Low,9.670551867756497,170.41191552194056
Congo Basin,Gabon,2022,43.10270880234637,0.4752488022755007,13853.114092208834,Low,8.641300402398478,150.3460275523512
Daintree,Solomon Islands,2020,54.372075677914765,1.0681264066350655,6932.0401954639365,High,7.9595006561262345,142.8175309075515
Amazon,Colombia,2013,75.07235068011245,2.1484468932928413,54621.399988276935,Critical,5.737291528069448,209.99332434404786
Amazon,Colombia,2011,77.28681257215798,0.4544479639281891,11553.734043448963,Low,8.563410563597378,224.2299549326425
Congo Basin,Equatorial Guinea,2014,51.46859899169916,0.4679291898747573,7859.029092944485,Low,9.593383892015648,142.80292394504195
Mekong,Vietnam (Mekong),2018,80.68773916508222,1.4345741774534917,57337.20171603901,High,7.232503116877554,269.4483134436842
Mekong,Thailand (Mekong),2023,62.088761492798014,0.19032427100039884,1880.4837797585685,Low,9.477009940162912,163.49493701740167
Central America,Honduras,2024,66.67557356670984,1.3421575916357733,5358.993719176462,High,7.096629904606656,192.4386307204127
Daintree,Australia,2011,55.77776731857223,0.14404339190026272,1092.7591452861884,Low,9.781801701082593,173.97460693900484
Central America,Nicaragua,2021,57.013272436555845,0.19985630406089527,1808.5045117078987,Low,9.804249900635352,188.66348417050764
Congo Basin,Congo,2012,65.20041151962526,1.3210988068736018,57348.69994347134,High,7.295314493073663,187.99640344027173
Amazon,Bolivia,2022,55.69453746710886,0.7279119140577591,5030.714018064068,Medium,7.127916386496376,128.72162039125072
Amazon,Ecuador,2012,58.787579300022536,0.6656750897863613,5906.792880792338,Medium,8.67709517854852,173.36065346835753
Mekong,Vietnam (Mekong),2016,81.30438756524777,1.4138611636306815,56509.34194387044,High,6.451536641933749,270.95373221935756
West Africa,Ghana,2024,67.3838187304625,0.3966578924163099,11693.741559579905,Low,9.101957932342842,207.79520433999605
Daintree,Solomon Islands,2011,67.97198728359837,0.7793091891576103,5057.643543289602,Medium,7.7390994931499595,208.64431909799376
Borneo,Brunei,2022,70.25482884956138,0.17462153356273286,4650.207378277201,Low,8.942508115334801,189.5041267171442
West Africa,Ghana,2012,75.03402476765179,0.42932587279272394,12656.81560171765,Low,9.758909165388816,201.78864249718205
Amazon,Guyana,2016,59.601552478747706,1.2370796823891972,25025.887255823018,High,7.3657946447494105,179.1654904089251
West Africa,Ghana,2018,71.45081533763691,1.628454404004127,48007.9315351119,High,6.544760112080787,185.82486756728255
Central America,Belize,2015,51.95054922440149,1.4715833071258775,44274.09985554138,High,7.29809541016254,171.47889212045467
Madagascar,Madagascar,2023,68.30744345128676,0.7212349335141333,17386.978762309405,Medium,8.372234871435507,187.989405376533
Daintree,Solomon Islands,2012,66.3853033171836,1.1395994028033183,7395.89323687446,High,8.772704240457069,198.66276433692093
Atlantic Forest,Argentina,2021,55.540419408396765,0.012394747815347329,237.39825386465736,Low,9.838700624006295,128.90591985010548
Atlantic Forest,Paraguay,2016,78.38740889711758,0.6347161539801972,12358.09936091322,Medium,8.913130398031113,227.2861893224826
Daintree,Solomon Islands,2019,56.0274335293471,0.4530321114302449,2940.1359115946957,Low,9.57940644282794,144.36508964543725
Mekong,Cambodia,2018,66.75544827480793,0.5501483175094986,10369.868425085357,Medium,9.700829977784457,153.82721647758757
Amazon,Venezuela,2019,70.73804760633432,0.57091735791841,4048.126036937516,Medium,8.48716221633436,223.05098460572933
Central America,El Salvador,2020,61.11637199138323,1.877702884547976,5494.7122850398355,High,6.035612478984726,216.17230675598117
Congo Basin,Cameroon,2015,67.91514898674258,0.31681371080780274,11922.605907257419,Low,10.0,226.33491874710668
Borneo,Malaysia (Borneo),2014,58.75376732097679,0.572034270122629,12496.881179850747,Medium,9.260962611781089,189.89511576100645
Amazon,Guyana,2017,58.240725657318656,0.6895691325696343,13949.852715594194,Medium,9.158449702694961,166.43975361304507
Congo Basin,DRC,2010,72.27923603704328,0.13614374728923745,6137.244962503343,Low,9.04336023364169,232.95551268208635
Amazon,Ecuador,2011,59.64971613902657,0.14199418656931784,1259.9694103180636,Low,10.0,203.4262123885543
Congo Basin,Equatorial Guinea,2019,43.757788641269386,1.5390490598776416,25848.849780635876,High,6.541198108602313,134.00980251723402
West Africa,Nigeria,2016,76.42659203603493,0.28473395436823823,2064.7297159776635,Low,9.526678580334472,205.59257266186435
Daintree,Australia,2019,50.19637345192023,0.5623344573498186,4266.048673749952,Medium,8.801219646504478,140.60143438393325
Congo Basin,Equatorial Guinea,2023,37.94513994281024,1.0442123034363844,17537.899001585287,High,7.472333974853196,147.88934959538943
Central America,Nicaragua,2023,55.67975014522744,1.4262518736192078,12906.18757508022,High,6.441228371051083,165.54436707267897
Borneo,Indonesia (Borneo),2014,72.95646365468113,0.13887227391948875,5375.072710389224,Low,8.850331393844574,152.37427656582145
Borneo,Brunei,2011,82.10975173397105,0.1511572098800963,4025.3476093296235,Low,9.757194783266796,216.95078592850928
Amazon,Ecuador,2019,54.79655640946369,0.7260348208854345,6442.388151537664,Medium,7.785270813112403,155.90069516554146
Amazon,Brazil,2020,58.632351710027535,0.06628214139454658,3010.344860223642,Low,9.300527919667466,196.61355989843395
Central America,Belize,2020,45.004413493174525,0.12537001648957502,3771.8861053073356,Low,9.64024202792174,129.55079343138533
Amazon,Suriname,2015,70.34131093974426,1.2036740703890927,7976.753375344496,High,6.273247609091865,232.11256591869798
Southeast Asia,Myanmar,2021,71.63282535035458,0.9857048806268948,46379.16333019823,Medium,8.41808009476821,204.37522898011395
Madagascar,Madagascar,2024,67.1563526312108,1.5489271090544843,37340.347088121016,High,5.6972016983376275,162.18320744892011
Congo Basin,Equatorial Guinea,2024,36.78152201488044,0.5020712098923965,8432.455872928731,Medium,8.957171384548822,100.51334287267962
Southeast Asia,Malaysia,2020,61.702080682556996,0.09803001047150661,4562.995845936569,Low,9.811449592354132,192.00514207859666
Borneo,Malaysia (Borneo),2020,54.889285833448604,0.7249436498155624,15837.398433996425,Medium,8.819143560459779,169.9068644871721
Central America,Nicaragua,2015,59.151113240874295,0.2404966798194932,2176.2602513243683,Low,9.498166239166066,152.3511847374902
Amazon,Suriname,2023,65.45877984923955,1.0133499497237197,6715.474587942992,High,8.98225408246918,189.35241551164333
Central America,Belize,2019,46.22301667557066,1.4797016697810657,44518.34915975597,High,7.148755101222119,192.36253478799344
Southeast Asia,Indonesia,2010,75.67607785261586,0.0333136222181214,199.46002144193972,Low,10.0,202.36285703191004
Southeast Asia,Thailand,2024,57.347986091888856,0.5308735521816265,6838.211252809635,Medium,8.576521491201603,185.25842616494154
Southeast Asia,Philippines,2017,64.95651120788307,1.6644949520648933,31753.184601841804,High,6.7313884989649475,152.9360196522533
Amazon,Peru,2024,52.5309595325481,1.9394172600151995,18415.360674146537,High,6.894950527484064,174.86871508903755
Southeast Asia,Vietnam,2021,47.55168920918902,1.0966410008483232,32630.788520111248,High,7.6878704359585335,124.80855982379813
West Africa,Ghana,2016,72.8973747643667,0.9747433385548874,28736.089476368805,Medium,8.14663070498784,226.7338894571589
Central America,Costa Rica,2022,56.03719299605169,0.18298922774792947,362.9570638327127,Low,10.0,142.28106695279104
Central America,Belize,2013,55.2874535883343,0.7873675203662728,23688.76301525245,Medium,8.054150199171637,171.67941676853704
Amazon,Ecuador,2016,56.592317876152784,0.9454566726199986,8389.403221805582,Medium,7.028306488100405,151.6039477136296
Central America,Panama,2018,52.2831820536312,0.3317038731511634,4859.769102641587,Low,9.464379080553858,142.54858250156113
West Africa,Liberia,2022,59.2413852807338,0.02417899635547016,412.18830330753053,Low,10.0,186.56387597010203
Atlantic Forest,Uruguay,2016,64.03716953677333,0.525038138781484,1468.7820867224143,Medium,8.274200839991046,183.50379908237966
Daintree,Australia,2017,51.397469956163114,0.8901838040410339,6753.2184574286875,Medium,8.554742340556603,161.80003883281557
Borneo,Indonesia (Borneo),2010,75.17200322803934,1.0583068106569304,40961.92779617779,High,8.221869572355908,221.699183311251
Atlantic Forest,Uruguay,2021,58.62377089498657,0.9635540582938092,2695.5202600998978,Medium,6.936143753854729,177.22118630990522
Borneo,Malaysia (Borneo),2023,52.81241258554503,0.6181594601814215,13504.549862776325,Medium,8.295536763433772,167.33896718370312
Southeast Asia,Indonesia,2011,75.47670221134939,0.11295109476712278,676.2767385855086,Low,9.576183420099923,219.42973754222535
Mekong,Cambodia,2015,68.54733579450019,0.23483496182028885,4426.456608484119,Low,9.440518076241805,185.72101166346508
Madagascar,Mauritius,2012,82.62062806702896,0.6683764332243877,22987.89401014867,Medium,8.291680001167231,237.21563888249108
Southeast Asia,Indonesia,2018,71.99588986740385,0.36834954319312463,2205.434380637954,Low,8.86479951182266,239.89045319888027
Amazon,Brazil,2017,61.46922134723588,0.5724425440030625,25998.69940615327,Medium,9.690856357584922,186.73112572323865
Mekong,Vietnam (Mekong),2020,79.93982758389873,1.2304001762194399,49176.755168263924,High,7.485420081631666,222.92151368348672
Amazon,Guyana,2021,52.632589358568495,0.7433009365358474,15036.836914957497,Medium,8.165876296853435,165.92898024345985
West Africa,Côte d'Ivoire,2018,54.82911500192313,0.7127187838510787,31976.22448777902,Medium,8.553977693841567,173.85365670455212
Madagascar,Seychelles,2022,61.53458264006289,1.1700501626866981,33090.6353265811,High,7.928445091157175,195.00372943614485
Southeast Asia,Cambodia,2016,83.29819047031573,0.15091628484773967,4029.6244882868864,Low,9.723980618660125,230.3378274035215
West Africa,Côte d'Ivoire,2024,47.54661608329119,1.4709851501806734,65995.94741450614,High,6.955165904224666,128.9920283641557
Amazon,Brazil,2012,66.5912333902577,0.38796571844620953,17620.29080375503,Low,8.899060228772354,186.23711584303285
West Africa,Senegal,2015,55.58554493332052,1.2108791042646998,32811.04844068125,High,7.247176368736801,159.5436765586377
West Africa,Liberia,2017,62.57091413960007,1.0875592267901237,18540.024815200984,High,7.5259773531770735,198.4911261216749
Madagascar,Seychelles,2017,68.03854981616526,0.3310414624020448,9362.309975813745,Low,9.507324375601279,210.03934554311607
Atlantic Forest,Brazil (Atlantic),2012,63.22122747737351,0.9023203239313087,29460.70879105755,Medium,7.698269305936488,197.1680215752638
Borneo,Indonesia (Borneo),2024,66.50518893386376,0.7610197366773483,29455.385896924952,Medium,8.674595138380413,226.59594964902175
Central America,El Salvador,2014,67.84057596583976,0.5242493259954738,1534.1081039371345,Medium,9.657998725822468,217.2995465473519
Madagascar,Seychelles,2011,77.15945159816249,0.42450259997169504,12005.52008692831,Low,9.31384847896321,228.64232229456573
West Africa,Senegal,2010,59.876622919224474,0.43128540022576667,11686.489682352976,Low,8.952636435089898,155.95216523662344
Southeast Asia,Vietnam,2019,50.16585382844905,1.1501515405151963,34223.00612105454,High,7.050633476442292,136.20662131592974
Borneo,Malaysia (Borneo),2015,58.01308968954168,0.962328411033208,21023.39743753201,Medium,8.864396581889341,168.8051677150605
West Africa,Côte d'Ivoire,2023,48.83563575432603,0.5243830802125319,23526.51770992548,Medium,8.36622501427548,163.08950380970035
Madagascar,Mauritius,2016,79.76590392957782,0.6935489171770999,23853.66719470805,Medium,9.037183182883675,238.75107310661159
West Africa,Senegal,2018,53.566020116090236,0.8955547312668948,24266.741052338744,Medium,8.528149467763454,147.57414125050187
Amazon,Ecuador,2014,57.513718780310136,1.0788908953422236,9573.416757722407,High,7.723833907833523,157.88329862638588
Congo Basin,Congo,2023,49.89960626625421,2.340328068357576,101593.28845292321,Critical,5.187854461394509,148.3072546203381
Mekong,Cambodia,2014,68.73922438506318,1.3603464504840304,25641.47386274199,High,6.361451462011429,224.01742439953154
West Africa,Benin,2016,76.15161398965847,1.0193411103323742,5103.017888249068,High,8.126350279741562,260.27522808447776
West Africa,Côte d'Ivoire,2014,59.507351699833485,0.5627435192149142,25247.563986217014,Medium,9.184476127768075,174.4066831389071
Daintree,Papua New Guinea,2020,67.5984280575579,1.9491000229319853,96167.12783114432,High,5.557259896062126,201.9004205574217
Daintree,Papua New Guinea,2017,69.95878429355378,0.9988390855213098,49281.96854442446,Medium,7.924411091792829,185.59751875751368
Congo Basin,DRC,2023,65.12664923456484,0.7629217282985672,34391.86614892648,Medium,8.49308750090734,234.16379908568382
West Africa,Benin,2015,77.6115059431582,1.2201829271321887,6108.470698352752,High,7.851920459710407,204.81446106635295
Southeast Asia,Indonesia,2013,75.04061043333071,0.002097444007357563,12.558112832690915,Low,9.99770665004688,248.55507753560312
Madagascar,Mauritius,2013,81.51471985197396,0.8824719973019648,30351.418351238135,Medium,7.421896328415279,237.23744049567247
Amazon,Venezuela,2020,69.02397064926937,0.2996255688064716,2124.5142569146233,Low,9.135779977655814,195.08458207100176
Borneo,Indonesia (Borneo),2016,71.07048024903744,0.48430121135162035,18744.95283524858,Low,9.14371046999127,191.01136930939379
Atlantic Forest,Paraguay,2015,79.59609221611753,1.1627636125560854,22639.32967061498,High,8.09523694590771,286.9892496364953
Central America,El Salvador,2016,66.00854024659971,0.24137048199374522,706.3211989346719,Low,9.208440731315386,202.45545320536704
Central America,Panama,2010,56.10406728874823,1.5303859790415506,22421.572667837685,High,8.033052979191908,168.737810608326
Atlantic Forest,Uruguay,2020,59.497908559258526,0.16175043113156534,452.4931013907691,Low,8.729262603318386,196.22837286886644
Congo Basin,Equatorial Guinea,2011,55.20131160901762,0.7085302665203259,11900.005595516148,Medium,8.3010893794304,152.58728031445358
Southeast Asia,Philippines,2019,62.92439350994348,0.6204063682199545,11835.348562522058,Medium,8.717670461813704,188.81009963445055
West Africa,Benin,2012,80.4765986602971,1.0758698326971126,5386.011557888337,High,7.747885752829342,242.55652171713373
Amazon,Bolivia,2010,61.127493383983534,1.6572031487572623,11453.192275365816,High,6.069522537578059,173.13956550498793
Central America,Costa Rica,2023,54.95725074220423,0.0882867606254823,175.11579127525548,Low,10.0,188.86451381033098
West Africa,Benin,2010,83.01524566248261,0.38817870920767994,1943.2973681188255,Low,9.4091896072416,244.67264875752974
Southeast Asia,Philippines,2011,71.16140831116346,0.7223864517941668,13780.79899205089,Medium,8.57920781940244,182.4215838661138
Atlantic Forest,Paraguay,2011,82.93961707913391,1.6638485159933942,32395.591562013247,High,6.83822489964247,242.78890396698426
Atlantic Forest,Paraguay,2023,73.21635639183117,0.6598852523847247,12848.148679742213,Medium,8.468341289506535,224.63264260977147
West Africa,Togo,2013,70.4117648823673,0.38504654498267366,2407.0909665586837,Low,8.42122543498037,193.36542996934972
Southeast Asia,Thailand,2017,63.9493245080378,0.1366483533507874,1760.1749111840616,Low,9.368383358272304,175.55607766070463
Mekong,Vietnam (Mekong),2024,78.1057137493559,0.15627505962455657,6246.016941964449,Low,9.765977171455607,223.39196048554686
Southeast Asia,Philippines,2021,60.03937593897651,0.15374837328719637,2933.022099685464,Low,9.773875460848807,204.54284101826875
Amazon,Guyana,2010,67.54169547212125,1.1752965021310218,23776.02524171159,High,7.67009652203088,192.88192596344962
Central America,El Salvador,2021,60.45193816240393,0.9712455579246941,2842.1508763905995,Medium,8.331863018143126,209.9381548582324
Congo Basin,Gabon,2011,56.17817887496294,0.7709764022957083,22473.33188903383,Medium,8.167474172683576,156.2355278619221
Borneo,Malaysia (Borneo),2022,53.41954211474734,0.8590793598429165,18767.778863524552,Medium,8.295181808869435,166.75890906937283
West Africa,Senegal,2013,57.706608955129994,1.6657566079649972,45136.81057161649,High,6.954533173272466,164.19497338099495
Southeast Asia,Myanmar,2015,74.98566244400008,1.8448738519443901,86804.58764546593,High,6.267807386860043,240.03865073780972
Congo Basin,Cameroon,2018,65.87644017434776,0.1007244398240914,3790.548705073056,Low,9.176889156148768,175.2638374317377
Amazon,Bolivia,2019,57.39774453038872,1.4332388727816048,9905.339848530957,High,6.652778069609022,187.05042318271077
Madagascar,Seychelles,2019,65.93120723854788,0.041601756007243196,1176.5551434308086,Low,10.0,200.07100972183736
Congo Basin,DRC,2021,65.80845810058945,0.6448932081688487,29071.240302930662,Medium,9.406449665133588,184.62553796621938
Amazon,Colombia,2024,61.460814364509055,0.16860970801672714,4286.677195624272,Low,10.0,181.05801339932415
Amazon,Bolivia,2020,56.818191082333335,2.271401218769821,15698.011986387743,Critical,5.573275537331376,201.1316720676435
Daintree,Australia,2012,55.78935156989098,0.2631862181360817,1996.614651928121,Low,8.87206126271949,170.12494480728859
West Africa,Togo,2018,65.32211283952725,0.6011592182587698,3758.103903514519,Medium,8.794505785096025,181.91177820032897
Southeast Asia,Cambodia,2021,82.06819983543711,0.0503499099710617,1344.3958709103426,Low,10.0,222.1107338497491
Borneo,Indonesia (Borneo),2021,68.13449121412398,1.9890524777891159,76986.58192271431,High,6.331139234650006,214.5115591109919
Congo Basin,Congo,2010,68.34604058770671,2.0092917168715285,87223.05036552237,Critical,5.877677804915007,208.95502670333383
Amazon,Ecuador,2017,55.9888495005547,1.8047433450103523,16014.186658818417,High,6.704825926399904,181.86696240342857
Congo Basin,CAR,2010,83.91058625601076,1.2651522786780975,11858.894487310969,High,6.834997839336002,222.48726397423542
Congo Basin,Cameroon,2024,62.190973719729904,0.00016836245275797523,6.335960551373794,Low,9.651827586170382,163.12771210135972
Amazon,Peru,2023,53.26727087179026,1.1622800767699344,11036.205183574226,High,7.133344150948969,182.73939660040878
Central America,Costa Rica,2018,57.99674604599629,0.4943657608602116,980.5688959375244,Low,9.246054387453793,180.6170710735757
Congo Basin,Gabon,2023,42.04153826716987,1.5499268973941056,45179.10206481052,High,7.2571979550718355,136.79263182626084
Southeast Asia,Malaysia,2024,59.567464994293715,1.392721642692289,64826.914121344584,High,7.137643701016239,159.44865434072207
Madagascar,Seychelles,2018,67.09460836566738,0.019412462460739577,549.0112617088578,Low,9.524710236708739,181.6640811304238
Madagascar,Comoros,2016,73.12541271714605,1.2582606422697729,9845.048454653903,High,7.47360416869314,239.2014113152799
Congo Basin,Congo,2011,67.25655190963148,1.045627560035141,45390.5346678711,High,7.665454934592814,222.53720882419742
Madagascar,Mauritius,2015,80.16480440307964,1.7188502903307588,59117.506736165116,High,6.164214066991609,218.72802346865788
Mekong,Cambodia,2020,64.90586878655016,1.1407493117035699,21502.238381685976,High,7.887998219247483,169.13019644259356
Congo Basin,Congo,2015,61.884071619993044,0.15456336908783502,6709.572539125261,Low,9.311877150564992,183.48035544573025
Mekong,Laos,2011,63.517434738441494,0.2088339634653389,7865.673768829506,Low,8.799157206587276,174.56533514780435
Amazon,Brazil,2016,62.218066050501704,0.17460848343499413,7930.21679144522,Low,8.978725797948417,170.2506605705846
West Africa,Benin,2023,68.75653818576009,0.39180568349437483,1961.454699828118,Low,8.414758399603274,181.24204962873242
Daintree,Australia,2010,56.55203460057364,0.8840476640693467,6706.667741131614,Medium,8.355660630149409,160.28742683611358
Amazon,Bolivia,2023,56.149704805670176,0.5923696177537443,4093.9598354651353,Medium,8.890463483580595,145.3552195643532
Mekong,Thailand (Mekong),2012,77.63823638933047,0.6518782689699715,6440.831244127323,Medium,8.746503509314138,211.0066911078067
Borneo,Brunei,2017,75.5810224792522,0.9614064529544577,25602.45171278385,Medium,8.371052920331056,232.7109043690827
Congo Basin,Congo,2020,53.98946599937148,1.9894446269357053,86361.49118496857,High,6.6170901741871475,160.86443331236688
Southeast Asia,Philippines,2016,65.39159653931915,0.36135213538010413,6893.430975419888,Low,8.981162463827236,205.8723632486001
Southeast Asia,Malaysia,2019,62.36655122615778,0.22031025057775705,10254.76538631752,Low,9.762618237463695,154.1189849714872
